进程名称,设备型号,运行日期,前台时长_秒,后台时长_秒,前台能耗_mAh,后台能耗_mAh,前台单位时间能耗_mAh每小时,后台单位时间能耗_mAh每小时,总单位时间能耗_mAh每小时,设备电量,异常分数,异常特征,分析结果
com.tencent.mm,vivo NEX 3S,2025-05-02,6769,735,1204,470,640.33,2302.04,803.09,35,-0.0604847921222674,前台运行时间过长(1.88小时)、前台能耗过高(1204mAh)、后台能耗过高(470mAh)、前台单位时间能耗过高(640.33mAh/小时)、后台单位时间能耗过高(2302.04mAh/小时)、总单位时间能耗过高(803.09mAh/小时)、设备电量较低(35%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.tencent.mm
设备型号：vivo NEX 3S
系统版本：V12.1.0.0
运行时段：2025-05-02 22:59:52 至 2025-05-03 01:04:56

### 2. 运行时间异常分析
前台运行时长：112.8分钟
后台运行时长：12.2分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1204mAh
后台能耗：470mAh
前台单位时间能耗：640.33mAh/小时
后台单位时间能耗：2302.04mAh/小时
总单位时间能耗：803.09mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：35%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0605 (分数越低越异常)
检测到的异常特征：前台运行时间过长(1.88小时)、前台能耗过高(1204mAh)、后台能耗过高(470mAh)、前台单位时间能耗过高(640.33mAh/小时)、后台单位时间能耗过高(2302.04mAh/小时)、总单位时间能耗过高(803.09mAh/小时)、设备电量较低(35%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.youku.phone,vivo X90,2025-05-11,16104,1220,1458,741,325.93,2186.56,456.96,18,-0.0430160163087494,前台运行时间过长(4.47小时)、前台能耗过高(1458mAh)、后台能耗过高(741mAh)、前台单位时间能耗过高(325.93mAh/小时)、后台单位时间能耗过高(2186.56mAh/小时)、总单位时间能耗过高(456.96mAh/小时)、设备电量较低(18%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.youku.phone
设备型号：vivo X90
系统版本：V13.1.2.0
运行时段：2025-05-11 19:27:52 至 2025-05-12 00:16:36

### 2. 运行时间异常分析
前台运行时长：268.4分钟
后台运行时长：20.3分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1458mAh
后台能耗：741mAh
前台单位时间能耗：325.93mAh/小时
后台单位时间能耗：2186.56mAh/小时
总单位时间能耗：456.96mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：18%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0430 (分数越低越异常)
检测到的异常特征：前台运行时间过长(4.47小时)、前台能耗过高(1458mAh)、后台能耗过高(741mAh)、前台单位时间能耗过高(325.93mAh/小时)、后台单位时间能耗过高(2186.56mAh/小时)、总单位时间能耗过高(456.96mAh/小时)、设备电量较低(18%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.tencent.tmgp.sgame,vivo NEX 3S,2025-05-30,4289,1204,1634,435,1371.51,1300.66,1355.98,28,-0.1177957010423411,前台运行时间过长(1.19小时)、前台能耗过高(1634mAh)、后台能耗过高(435mAh)、前台单位时间能耗过高(1371.51mAh/小时)、后台单位时间能耗过高(1300.66mAh/小时)、总单位时间能耗过高(1355.98mAh/小时)、设备电量较低(28%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.tencent.tmgp.sgame
设备型号：vivo NEX 3S
系统版本：V12.5.3.0
运行时段：2025-05-30 01:51:52 至 2025-05-30 03:23:25

### 2. 运行时间异常分析
前台运行时长：71.5分钟
后台运行时长：20.1分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1634mAh
后台能耗：435mAh
前台单位时间能耗：1371.51mAh/小时
后台单位时间能耗：1300.66mAh/小时
总单位时间能耗：1355.98mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：28%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.1178 (分数越低越异常)
检测到的异常特征：前台运行时间过长(1.19小时)、前台能耗过高(1634mAh)、后台能耗过高(435mAh)、前台单位时间能耗过高(1371.51mAh/小时)、后台单位时间能耗过高(1300.66mAh/小时)、总单位时间能耗过高(1355.98mAh/小时)、设备电量较低(28%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.alibaba.android.rimet,vivo Y76s,2025-05-07,9928,816,1172,485,424.98,2139.71,555.21,37,-0.024356152349874,前台运行时间过长(2.76小时)、前台能耗过高(1172mAh)、后台能耗过高(485mAh)、前台单位时间能耗过高(424.98mAh/小时)、后台单位时间能耗过高(2139.71mAh/小时)、总单位时间能耗过高(555.21mAh/小时)、设备电量较低(37%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.alibaba.android.rimet
设备型号：vivo Y76s
系统版本：V13.0.1.0
运行时段：2025-05-07 01:51:52 至 2025-05-07 04:50:56

### 2. 运行时间异常分析
前台运行时长：165.5分钟
后台运行时长：13.6分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1172mAh
后台能耗：485mAh
前台单位时间能耗：424.98mAh/小时
后台单位时间能耗：2139.71mAh/小时
总单位时间能耗：555.21mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：37%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0244 (分数越低越异常)
检测到的异常特征：前台运行时间过长(2.76小时)、前台能耗过高(1172mAh)、后台能耗过高(485mAh)、前台单位时间能耗过高(424.98mAh/小时)、后台单位时间能耗过高(2139.71mAh/小时)、总单位时间能耗过高(555.21mAh/小时)、设备电量较低(37%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.android.phone,vivo S15,2025-05-31,28593,425,1781,416,224.24,3523.76,272.56,18,-0.0668214754799521,前台运行时间过长(7.94小时)、前台能耗过高(1781mAh)、后台能耗过高(416mAh)、前台单位时间能耗过高(224.24mAh/小时)、后台单位时间能耗过高(3523.76mAh/小时)、总单位时间能耗过高(272.56mAh/小时)、设备电量较低(18%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.android.phone
设备型号：vivo S15
系统版本：V11.2.1.0
运行时段：2025-05-31 13:18:52 至 2025-05-31 21:22:30

### 2. 运行时间异常分析
前台运行时长：476.6分钟
后台运行时长：7.1分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1781mAh
后台能耗：416mAh
前台单位时间能耗：224.24mAh/小时
后台单位时间能耗：3523.76mAh/小时
总单位时间能耗：272.56mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：18%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0668 (分数越低越异常)
检测到的异常特征：前台运行时间过长(7.94小时)、前台能耗过高(1781mAh)、后台能耗过高(416mAh)、前台单位时间能耗过高(224.24mAh/小时)、后台单位时间能耗过高(3523.76mAh/小时)、总单位时间能耗过高(272.56mAh/小时)、设备电量较低(18%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.android.phone,vivo Y76s,2025-05-14,25695,1712,1678,221,235.1,464.72,249.44,34,-0.0801045810074279,前台运行时间过长(7.14小时)、前台能耗过高(1678mAh)、后台能耗过高(221mAh)、前台单位时间能耗过高(235.10mAh/小时)、后台单位时间能耗过高(464.72mAh/小时)、总单位时间能耗过高(249.44mAh/小时)、设备电量较低(34%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.android.phone
设备型号：vivo Y76s
系统版本：V13.1.2.0
运行时段：2025-05-14 01:04:52 至 2025-05-14 08:41:39

### 2. 运行时间异常分析
前台运行时长：428.2分钟
后台运行时长：28.5分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1678mAh
后台能耗：221mAh
前台单位时间能耗：235.10mAh/小时
后台单位时间能耗：464.72mAh/小时
总单位时间能耗：249.44mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：34%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0801 (分数越低越异常)
检测到的异常特征：前台运行时间过长(7.14小时)、前台能耗过高(1678mAh)、后台能耗过高(221mAh)、前台单位时间能耗过高(235.10mAh/小时)、后台单位时间能耗过高(464.72mAh/小时)、总单位时间能耗过高(249.44mAh/小时)、设备电量较低(34%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.alibaba.android.rimet,vivo X90,2025-05-19,12284,693,1776,607,520.48,3153.25,661.08,30,-0.0645668877220819,前台运行时间过长(3.41小时)、前台能耗过高(1776mAh)、后台能耗过高(607mAh)、前台单位时间能耗过高(520.48mAh/小时)、后台单位时间能耗过高(3153.25mAh/小时)、总单位时间能耗过高(661.08mAh/小时)、设备电量较低(30%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.alibaba.android.rimet
设备型号：vivo X90
系统版本：V11.2.1.0
运行时段：2025-05-19 12:56:52 至 2025-05-19 16:33:09

### 2. 运行时间异常分析
前台运行时长：204.7分钟
后台运行时长：11.6分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1776mAh
后台能耗：607mAh
前台单位时间能耗：520.48mAh/小时
后台单位时间能耗：3153.25mAh/小时
总单位时间能耗：661.08mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：30%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0646 (分数越低越异常)
检测到的异常特征：前台运行时间过长(3.41小时)、前台能耗过高(1776mAh)、后台能耗过高(607mAh)、前台单位时间能耗过高(520.48mAh/小时)、后台单位时间能耗过高(3153.25mAh/小时)、总单位时间能耗过高(661.08mAh/小时)、设备电量较低(30%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.ss.android.ugc.aweme,vivo iQOO 9,2025-05-11,26072,1593,600,708,82.85,1600.0,170.21,36,-0.0851454893413808,前台运行时间过长(7.24小时)、前台能耗过高(600mAh)、后台能耗过高(708mAh)、后台单位时间能耗过高(1600.00mAh/小时)、设备电量较低(36%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.ss.android.ugc.aweme
设备型号：vivo iQOO 9
系统版本：V12.5.3.0
运行时段：2025-05-11 20:48:52 至 2025-05-12 04:29:57

### 2. 运行时间异常分析
前台运行时长：434.5分钟
后台运行时长：26.6分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：600mAh
后台能耗：708mAh
前台单位时间能耗：82.85mAh/小时
后台单位时间能耗：1600.00mAh/小时
总单位时间能耗：170.21mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。

### 4. 设备状态分析
设备电量：36%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0851 (分数越低越异常)
检测到的异常特征：前台运行时间过长(7.24小时)、前台能耗过高(600mAh)、后台能耗过高(708mAh)、后台单位时间能耗过高(1600.00mAh/小时)、设备电量较低(36%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议在低电量时限制高能耗操作
"
com.eg.android.AlipayGphone,vivo X80,2025-05-12,11396,1205,1163,216,367.39,645.31,393.97,15,-0.0297746395411268,前台运行时间过长(3.17小时)、前台能耗过高(1163mAh)、后台能耗过高(216mAh)、前台单位时间能耗过高(367.39mAh/小时)、后台单位时间能耗过高(645.31mAh/小时)、总单位时间能耗过高(393.97mAh/小时)、设备电量较低(15%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.eg.android.AlipayGphone
设备型号：vivo X80
系统版本：V11.2.1.0
运行时段：2025-05-12 08:57:52 至 2025-05-12 12:27:53

### 2. 运行时间异常分析
前台运行时长：189.9分钟
后台运行时长：20.1分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1163mAh
后台能耗：216mAh
前台单位时间能耗：367.39mAh/小时
后台单位时间能耗：645.31mAh/小时
总单位时间能耗：393.97mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：15%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0298 (分数越低越异常)
检测到的异常特征：前台运行时间过长(3.17小时)、前台能耗过高(1163mAh)、后台能耗过高(216mAh)、前台单位时间能耗过高(367.39mAh/小时)、后台单位时间能耗过高(645.31mAh/小时)、总单位时间能耗过高(393.97mAh/小时)、设备电量较低(15%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.alibaba.android.rimet,vivo S15,2025-05-08,5323,318,822,250,555.93,2830.19,684.13,31,-0.0620846478936378,前台运行时间过长(1.48小时)、前台能耗过高(822mAh)、后台能耗过高(250mAh)、前台单位时间能耗过高(555.93mAh/小时)、后台单位时间能耗过高(2830.19mAh/小时)、总单位时间能耗过高(684.13mAh/小时)、设备电量较低(31%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.alibaba.android.rimet
设备型号：vivo S15
系统版本：V13.0.1.0
运行时段：2025-05-08 14:27:52 至 2025-05-08 16:01:53

### 2. 运行时间异常分析
前台运行时长：88.7分钟
后台运行时长：5.3分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：822mAh
后台能耗：250mAh
前台单位时间能耗：555.93mAh/小时
后台单位时间能耗：2830.19mAh/小时
总单位时间能耗：684.13mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：31%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0621 (分数越低越异常)
检测到的异常特征：前台运行时间过长(1.48小时)、前台能耗过高(822mAh)、后台能耗过高(250mAh)、前台单位时间能耗过高(555.93mAh/小时)、后台单位时间能耗过高(2830.19mAh/小时)、总单位时间能耗过高(684.13mAh/小时)、设备电量较低(31%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.taobao.taobao,vivo NEX 3S,2025-05-14,13767,1527,1195,426,312.49,1004.32,381.56,20,-0.0251258300267912,前台运行时间过长(3.82小时)、前台能耗过高(1195mAh)、后台能耗过高(426mAh)、前台单位时间能耗过高(312.49mAh/小时)、后台单位时间能耗过高(1004.32mAh/小时)、总单位时间能耗过高(381.56mAh/小时)、设备电量较低(20%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.taobao.taobao
设备型号：vivo NEX 3S
系统版本：V12.5.3.0
运行时段：2025-05-14 20:32:52 至 2025-05-15 00:47:46

### 2. 运行时间异常分析
前台运行时长：229.4分钟
后台运行时长：25.4分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1195mAh
后台能耗：426mAh
前台单位时间能耗：312.49mAh/小时
后台单位时间能耗：1004.32mAh/小时
总单位时间能耗：381.56mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：20%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0251 (分数越低越异常)
检测到的异常特征：前台运行时间过长(3.82小时)、前台能耗过高(1195mAh)、后台能耗过高(426mAh)、前台单位时间能耗过高(312.49mAh/小时)、后台单位时间能耗过高(1004.32mAh/小时)、总单位时间能耗过高(381.56mAh/小时)、设备电量较低(20%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.eg.android.AlipayGphone,vivo NEX 3S,2025-05-08,13760,1055,1315,756,344.04,2579.72,503.25,25,-0.033713837674425,前台运行时间过长(3.82小时)、前台能耗过高(1315mAh)、后台能耗过高(756mAh)、前台单位时间能耗过高(344.04mAh/小时)、后台单位时间能耗过高(2579.72mAh/小时)、总单位时间能耗过高(503.25mAh/小时)、设备电量较低(25%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.eg.android.AlipayGphone
设备型号：vivo NEX 3S
系统版本：V12.1.0.0
运行时段：2025-05-08 02:09:52 至 2025-05-08 06:16:47

### 2. 运行时间异常分析
前台运行时长：229.3分钟
后台运行时长：17.6分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1315mAh
后台能耗：756mAh
前台单位时间能耗：344.04mAh/小时
后台单位时间能耗：2579.72mAh/小时
总单位时间能耗：503.25mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：25%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0337 (分数越低越异常)
检测到的异常特征：前台运行时间过长(3.82小时)、前台能耗过高(1315mAh)、后台能耗过高(756mAh)、前台单位时间能耗过高(344.04mAh/小时)、后台单位时间能耗过高(2579.72mAh/小时)、总单位时间能耗过高(503.25mAh/小时)、设备电量较低(25%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.ss.android.ugc.aweme,vivo X80,2025-05-17,17510,161,1381,384,283.93,8586.34,359.57,27,-0.063293264582432,前台运行时间过长(4.86小时)、前台能耗过高(1381mAh)、后台能耗过高(384mAh)、前台单位时间能耗过高(283.93mAh/小时)、后台单位时间能耗过高(8586.34mAh/小时)、总单位时间能耗过高(359.57mAh/小时)、设备电量较低(27%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.ss.android.ugc.aweme
设备型号：vivo X80
系统版本：V12.1.0.0
运行时段：2025-05-17 00:14:52 至 2025-05-17 05:09:23

### 2. 运行时间异常分析
前台运行时长：291.8分钟
后台运行时长：2.7分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1381mAh
后台能耗：384mAh
前台单位时间能耗：283.93mAh/小时
后台单位时间能耗：8586.34mAh/小时
总单位时间能耗：359.57mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：27%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0633 (分数越低越异常)
检测到的异常特征：前台运行时间过长(4.86小时)、前台能耗过高(1381mAh)、后台能耗过高(384mAh)、前台单位时间能耗过高(283.93mAh/小时)、后台单位时间能耗过高(8586.34mAh/小时)、总单位时间能耗过高(359.57mAh/小时)、设备电量较低(27%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
