进程名称,设备型号,运行日期,前台时长_秒,后台时长_秒,前台能耗_mAh,后台能耗_mAh,前台单位时间能耗_mAh每小时,后台单位时间能耗_mAh每小时,总单位时间能耗_mAh每小时,设备电量,异常分数,异常特征,分析结果
com.android.chrome,vivo iQOO 9,2025-05-02,21090,408,1996,582,340.71,5135.29,431.71,40,-0.0789136117584625,前台运行时间过长(5.86小时)、前台能耗过高(1996mAh)、后台能耗过高(582mAh)、前台单位时间能耗过高(340.71mAh/小时)、后台单位时间能耗过高(5135.29mAh/小时)、总单位时间能耗过高(431.71mAh/小时)、设备电量较低(40%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.android.chrome
设备型号：vivo iQOO 9
系统版本：V12.1.0.0
运行时段：2025-05-02 17:41:52 至 2025-05-02 23:40:10

### 2. 运行时间异常分析
前台运行时长：351.5分钟
后台运行时长：6.8分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1996mAh
后台能耗：582mAh
前台单位时间能耗：340.71mAh/小时
后台单位时间能耗：5135.29mAh/小时
总单位时间能耗：431.71mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：40%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0789 (分数越低越异常)
检测到的异常特征：前台运行时间过长(5.86小时)、前台能耗过高(1996mAh)、后台能耗过高(582mAh)、前台单位时间能耗过高(340.71mAh/小时)、后台单位时间能耗过高(5135.29mAh/小时)、总单位时间能耗过高(431.71mAh/小时)、设备电量较低(40%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.tencent.mobileqq,vivo Y76s,2025-05-07,13121,737,1886,520,517.46,2540.03,625.03,23,-0.0519641568218754,前台运行时间过长(3.64小时)、前台能耗过高(1886mAh)、后台能耗过高(520mAh)、前台单位时间能耗过高(517.46mAh/小时)、后台单位时间能耗过高(2540.03mAh/小时)、总单位时间能耗过高(625.03mAh/小时)、设备电量较低(23%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.tencent.mobileqq
设备型号：vivo Y76s
系统版本：V12.5.3.0
运行时段：2025-05-07 03:10:52 至 2025-05-07 07:01:50

### 2. 运行时间异常分析
前台运行时长：218.7分钟
后台运行时长：12.3分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1886mAh
后台能耗：520mAh
前台单位时间能耗：517.46mAh/小时
后台单位时间能耗：2540.03mAh/小时
总单位时间能耗：625.03mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：23%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0520 (分数越低越异常)
检测到的异常特征：前台运行时间过长(3.64小时)、前台能耗过高(1886mAh)、后台能耗过高(520mAh)、前台单位时间能耗过高(517.46mAh/小时)、后台单位时间能耗过高(2540.03mAh/小时)、总单位时间能耗过高(625.03mAh/小时)、设备电量较低(23%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.qiyi.video,vivo Y76s,2025-06-01,17782,1717,1698,694,343.76,1455.1,441.62,39,-0.061882683778566,前台运行时间过长(4.94小时)、前台能耗过高(1698mAh)、后台能耗过高(694mAh)、前台单位时间能耗过高(343.76mAh/小时)、后台单位时间能耗过高(1455.10mAh/小时)、总单位时间能耗过高(441.62mAh/小时)、设备电量较低(39%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.qiyi.video
设备型号：vivo Y76s
系统版本：V12.1.0.0
运行时段：2025-06-01 16:18:52 至 2025-06-01 21:43:51

### 2. 运行时间异常分析
前台运行时长：296.4分钟
后台运行时长：28.6分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1698mAh
后台能耗：694mAh
前台单位时间能耗：343.76mAh/小时
后台单位时间能耗：1455.10mAh/小时
总单位时间能耗：441.62mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：39%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0619 (分数越低越异常)
检测到的异常特征：前台运行时间过长(4.94小时)、前台能耗过高(1698mAh)、后台能耗过高(694mAh)、前台单位时间能耗过高(343.76mAh/小时)、后台单位时间能耗过高(1455.10mAh/小时)、总单位时间能耗过高(441.62mAh/小时)、设备电量较低(39%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.tencent.tmgp.sgame,vivo Y76s,2025-05-22,11835,415,1770,653,538.4,5664.58,712.07,36,-0.0987607260049741,前台运行时间过长(3.29小时)、前台能耗过高(1770mAh)、后台能耗过高(653mAh)、前台单位时间能耗过高(538.40mAh/小时)、后台单位时间能耗过高(5664.58mAh/小时)、总单位时间能耗过高(712.07mAh/小时)、设备电量较低(36%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.tencent.tmgp.sgame
设备型号：vivo Y76s
系统版本：V12.1.0.0
运行时段：2025-05-22 16:02:52 至 2025-05-22 19:27:02

### 2. 运行时间异常分析
前台运行时长：197.2分钟
后台运行时长：6.9分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1770mAh
后台能耗：653mAh
前台单位时间能耗：538.40mAh/小时
后台单位时间能耗：5664.58mAh/小时
总单位时间能耗：712.07mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：36%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0988 (分数越低越异常)
检测到的异常特征：前台运行时间过长(3.29小时)、前台能耗过高(1770mAh)、后台能耗过高(653mAh)、前台单位时间能耗过高(538.40mAh/小时)、后台单位时间能耗过高(5664.58mAh/小时)、总单位时间能耗过高(712.07mAh/小时)、设备电量较低(36%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.android.phone,vivo S15,2025-05-27,5745,431,1872,418,1173.05,3491.42,1334.84,37,-0.1286430491899231,前台运行时间过长(1.60小时)、前台能耗过高(1872mAh)、后台能耗过高(418mAh)、前台单位时间能耗过高(1173.05mAh/小时)、后台单位时间能耗过高(3491.42mAh/小时)、总单位时间能耗过高(1334.84mAh/小时)、设备电量较低(37%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.android.phone
设备型号：vivo S15
系统版本：V13.0.1.0
运行时段：2025-05-27 15:31:52 至 2025-05-27 17:14:48

### 2. 运行时间异常分析
前台运行时长：95.8分钟
后台运行时长：7.2分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1872mAh
后台能耗：418mAh
前台单位时间能耗：1173.05mAh/小时
后台单位时间能耗：3491.42mAh/小时
总单位时间能耗：1334.84mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：37%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.1286 (分数越低越异常)
检测到的异常特征：前台运行时间过长(1.60小时)、前台能耗过高(1872mAh)、后台能耗过高(418mAh)、前台单位时间能耗过高(1173.05mAh/小时)、后台单位时间能耗过高(3491.42mAh/小时)、总单位时间能耗过高(1334.84mAh/小时)、设备电量较低(37%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.dianping.v1,vivo X90,2025-05-24,10375,1060,1239,597,429.92,2027.55,578.01,25,-0.0302324870768104,前台运行时间过长(2.88小时)、前台能耗过高(1239mAh)、后台能耗过高(597mAh)、前台单位时间能耗过高(429.92mAh/小时)、后台单位时间能耗过高(2027.55mAh/小时)、总单位时间能耗过高(578.01mAh/小时)、设备电量较低(25%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.dianping.v1
设备型号：vivo X90
系统版本：V13.0.1.0
运行时段：2025-05-24 21:51:52 至 2025-05-25 01:02:27

### 2. 运行时间异常分析
前台运行时长：172.9分钟
后台运行时长：17.7分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1239mAh
后台能耗：597mAh
前台单位时间能耗：429.92mAh/小时
后台单位时间能耗：2027.55mAh/小时
总单位时间能耗：578.01mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：25%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0302 (分数越低越异常)
检测到的异常特征：前台运行时间过长(2.88小时)、前台能耗过高(1239mAh)、后台能耗过高(597mAh)、前台单位时间能耗过高(429.92mAh/小时)、后台单位时间能耗过高(2027.55mAh/小时)、总单位时间能耗过高(578.01mAh/小时)、设备电量较低(25%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.tencent.mobileqq,vivo S15,2025-05-13,71,13418,200,5,10140.85,1.34,54.71,93,-0.0395707770796123,前台单位时间能耗过高(10140.85mAh/小时),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.tencent.mobileqq
设备型号：vivo S15
系统版本：V12.1.0.0
运行时段：2025-05-13 15:39:52 至 2025-05-13 19:24:41

### 2. 运行时间异常分析
前台运行时长：1.2分钟
后台运行时长：223.6分钟

### 3. 能耗异常分析
前台能耗：200mAh
后台能耗：5mAh
前台单位时间能耗：10140.85mAh/小时
后台单位时间能耗：1.34mAh/小时
总单位时间能耗：54.71mAh/小时

### 4. 设备状态分析
设备电量：93%
屏幕状态：关闭

### 5. 异常原因总结
异常分数：-0.0396 (分数越低越异常)
检测到的异常特征：前台单位时间能耗过高(10140.85mAh/小时)

### 6. 优化建议
"
com.taobao.taobao,vivo Y76s,2025-05-16,23244,1045,1556,437,240.99,1505.45,295.39,29,-0.0212968675725635,前台运行时间过长(6.46小时)、前台能耗过高(1556mAh)、后台能耗过高(437mAh)、前台单位时间能耗过高(240.99mAh/小时)、后台单位时间能耗过高(1505.45mAh/小时)、总单位时间能耗过高(295.39mAh/小时)、设备电量较低(29%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.taobao.taobao
设备型号：vivo Y76s
系统版本：V13.1.2.0
运行时段：2025-05-16 23:53:52 至 2025-05-17 06:38:41

### 2. 运行时间异常分析
前台运行时长：387.4分钟
后台运行时长：17.4分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1556mAh
后台能耗：437mAh
前台单位时间能耗：240.99mAh/小时
后台单位时间能耗：1505.45mAh/小时
总单位时间能耗：295.39mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：29%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0213 (分数越低越异常)
检测到的异常特征：前台运行时间过长(6.46小时)、前台能耗过高(1556mAh)、后台能耗过高(437mAh)、前台单位时间能耗过高(240.99mAh/小时)、后台单位时间能耗过高(1505.45mAh/小时)、总单位时间能耗过高(295.39mAh/小时)、设备电量较低(29%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.tencent.tmgp.sgame,vivo X80,2025-05-04,7409,528,638,591,310.0,4029.55,557.44,30,-0.0591971656250177,前台运行时间过长(2.06小时)、前台能耗过高(638mAh)、后台能耗过高(591mAh)、前台单位时间能耗过高(310.00mAh/小时)、后台单位时间能耗过高(4029.55mAh/小时)、总单位时间能耗过高(557.44mAh/小时)、设备电量较低(30%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.tencent.tmgp.sgame
设备型号：vivo X80
系统版本：V12.5.3.0
运行时段：2025-05-04 14:10:52 至 2025-05-04 16:23:09

### 2. 运行时间异常分析
前台运行时长：123.5分钟
后台运行时长：8.8分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：638mAh
后台能耗：591mAh
前台单位时间能耗：310.00mAh/小时
后台单位时间能耗：4029.55mAh/小时
总单位时间能耗：557.44mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：30%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0592 (分数越低越异常)
检测到的异常特征：前台运行时间过长(2.06小时)、前台能耗过高(638mAh)、后台能耗过高(591mAh)、前台单位时间能耗过高(310.00mAh/小时)、后台单位时间能耗过高(4029.55mAh/小时)、总单位时间能耗过高(557.44mAh/小时)、设备电量较低(30%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.tencent.mobileqq,vivo X80,2025-05-19,14979,806,1905,378,457.84,1688.34,520.67,24,-0.0437821890933893,前台运行时间过长(4.16小时)、前台能耗过高(1905mAh)、后台能耗过高(378mAh)、前台单位时间能耗过高(457.84mAh/小时)、后台单位时间能耗过高(1688.34mAh/小时)、总单位时间能耗过高(520.67mAh/小时)、设备电量较低(24%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.tencent.mobileqq
设备型号：vivo X80
系统版本：V11.2.1.0
运行时段：2025-05-19 17:31:52 至 2025-05-19 21:54:57

### 2. 运行时间异常分析
前台运行时长：249.7分钟
后台运行时长：13.4分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1905mAh
后台能耗：378mAh
前台单位时间能耗：457.84mAh/小时
后台单位时间能耗：1688.34mAh/小时
总单位时间能耗：520.67mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：24%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0438 (分数越低越异常)
检测到的异常特征：前台运行时间过长(4.16小时)、前台能耗过高(1905mAh)、后台能耗过高(378mAh)、前台单位时间能耗过高(457.84mAh/小时)、后台单位时间能耗过高(1688.34mAh/小时)、总单位时间能耗过高(520.67mAh/小时)、设备电量较低(24%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.ss.android.ugc.aweme,vivo S15,2025-05-21,81,1801,143,22,6355.56,43.98,315.62,82,-0.020518383430264,前台单位时间能耗过高(6355.56mAh/小时)、总单位时间能耗过高(315.62mAh/小时),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.ss.android.ugc.aweme
设备型号：vivo S15
系统版本：V12.1.0.0
运行时段：2025-05-21 19:49:52 至 2025-05-21 20:21:14

### 2. 运行时间异常分析
前台运行时长：1.4分钟
后台运行时长：30.0分钟

### 3. 能耗异常分析
前台能耗：143mAh
后台能耗：22mAh
前台单位时间能耗：6355.56mAh/小时
后台单位时间能耗：43.98mAh/小时
总单位时间能耗：315.62mAh/小时
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：82%
屏幕状态：开启

### 5. 异常原因总结
异常分数：-0.0205 (分数越低越异常)
检测到的异常特征：前台单位时间能耗过高(6355.56mAh/小时)、总单位时间能耗过高(315.62mAh/小时)

### 6. 优化建议
- 建议优化算法和资源使用，提高能耗效率
"
com.UCMobile,vivo S15,2025-05-26,10716,700,1360,519,456.89,2669.14,592.54,35,-0.0329195100779902,前台运行时间过长(2.98小时)、前台能耗过高(1360mAh)、后台能耗过高(519mAh)、前台单位时间能耗过高(456.89mAh/小时)、后台单位时间能耗过高(2669.14mAh/小时)、总单位时间能耗过高(592.54mAh/小时)、设备电量较低(35%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.UCMobile
设备型号：vivo S15
系统版本：V13.0.1.0
运行时段：2025-05-26 06:56:52 至 2025-05-26 10:07:08

### 2. 运行时间异常分析
前台运行时长：178.6分钟
后台运行时长：11.7分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1360mAh
后台能耗：519mAh
前台单位时间能耗：456.89mAh/小时
后台单位时间能耗：2669.14mAh/小时
总单位时间能耗：592.54mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：35%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0329 (分数越低越异常)
检测到的异常特征：前台运行时间过长(2.98小时)、前台能耗过高(1360mAh)、后台能耗过高(519mAh)、前台单位时间能耗过高(456.89mAh/小时)、后台单位时间能耗过高(2669.14mAh/小时)、总单位时间能耗过高(592.54mAh/小时)、设备电量较低(35%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.android.phone,vivo NEX 3S,2025-05-25,21260,1677,1293,394,218.95,845.8,264.78,26,-0.0242361133115254,前台运行时间过长(5.91小时)、前台能耗过高(1293mAh)、后台能耗过高(394mAh)、前台单位时间能耗过高(218.95mAh/小时)、后台单位时间能耗过高(845.80mAh/小时)、总单位时间能耗过高(264.78mAh/小时)、设备电量较低(26%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.android.phone
设备型号：vivo NEX 3S
系统版本：V13.0.1.0
运行时段：2025-05-25 22:19:52 至 2025-05-26 04:42:09

### 2. 运行时间异常分析
前台运行时长：354.3分钟
后台运行时长：27.9分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：1293mAh
后台能耗：394mAh
前台单位时间能耗：218.95mAh/小时
后台单位时间能耗：845.80mAh/小时
总单位时间能耗：264.78mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：26%
屏幕状态：开启
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0242 (分数越低越异常)
检测到的异常特征：前台运行时间过长(5.91小时)、前台能耗过高(1293mAh)、后台能耗过高(394mAh)、前台单位时间能耗过高(218.95mAh/小时)、后台单位时间能耗过高(845.80mAh/小时)、总单位时间能耗过高(264.78mAh/小时)、设备电量较低(26%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
com.tencent.mm,vivo iQOO 9,2025-05-12,25190,136,589,332,84.18,8788.24,130.92,15,-0.0962014527156874,前台运行时间过长(7.00小时)、前台能耗过高(589mAh)、后台能耗过高(332mAh)、后台单位时间能耗过高(8788.24mAh/小时)、设备电量较低(15%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.tencent.mm
设备型号：vivo iQOO 9
系统版本：V13.0.1.0
运行时段：2025-05-12 22:58:52 至 2025-05-13 06:00:58

### 2. 运行时间异常分析
前台运行时长：419.8分钟
后台运行时长：2.3分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：589mAh
后台能耗：332mAh
前台单位时间能耗：84.18mAh/小时
后台单位时间能耗：8788.24mAh/小时
总单位时间能耗：130.92mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。

### 4. 设备状态分析
设备电量：15%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0962 (分数越低越异常)
检测到的异常特征：前台运行时间过长(7.00小时)、前台能耗过高(589mAh)、后台能耗过高(332mAh)、后台单位时间能耗过高(8788.24mAh/小时)、设备电量较低(15%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议在低电量时限制高能耗操作
"
com.autonavi.minimap,vivo NEX 3S,2025-05-03,18685,728,819,341,157.8,1686.26,215.11,18,-0.016449197683609,前台运行时间过长(5.19小时)、前台能耗过高(819mAh)、后台能耗过高(341mAh)、前台单位时间能耗过高(157.80mAh/小时)、后台单位时间能耗过高(1686.26mAh/小时)、总单位时间能耗过高(215.11mAh/小时)、设备电量较低(18%),"## 异常进程分析报告

### 1. 进程基本信息分析
进程名称：com.autonavi.minimap
设备型号：vivo NEX 3S
系统版本：V12.5.3.0
运行时段：2025-05-03 14:56:52 至 2025-05-03 20:20:25

### 2. 运行时间异常分析
前台运行时长：311.4分钟
后台运行时长：12.1分钟
⚠️ 前台运行时间异常：超过正常阈值，可能影响用户体验和电池续航。

### 3. 能耗异常分析
前台能耗：819mAh
后台能耗：341mAh
前台单位时间能耗：157.80mAh/小时
后台单位时间能耗：1686.26mAh/小时
总单位时间能耗：215.11mAh/小时
⚠️ 能耗异常：总能耗超过正常范围，建议检查应用行为。
⚠️ 单位时间能耗异常：能耗效率低下，可能存在性能问题。

### 4. 设备状态分析
设备电量：18%
屏幕状态：关闭
⚠️ 电量状态：设备电量较低，高能耗应用可能加速电量消耗。

### 5. 异常原因总结
异常分数：-0.0164 (分数越低越异常)
检测到的异常特征：前台运行时间过长(5.19小时)、前台能耗过高(819mAh)、后台能耗过高(341mAh)、前台单位时间能耗过高(157.80mAh/小时)、后台单位时间能耗过高(1686.26mAh/小时)、总单位时间能耗过高(215.11mAh/小时)、设备电量较低(18%)

### 6. 优化建议
- 建议优化前台运行逻辑，减少不必要的前台时间
- 建议优化算法和资源使用，提高能耗效率
- 建议在低电量时限制高能耗操作
"
